"view","feature","method","dataset_name"
"A_BLOCK","A120","cplr","multiomics-sim2"
"A_BLOCK","A25","cplr","multiomics-sim2"
"A_BLOCK","A30","cplr","multiomics-sim2"
"A_BLOCK","A14","cplr","multiomics-sim2"
"A_BLOCK","A231","cplr","multiomics-sim2"
"A_BLOCK","A16","cplr","multiomics-sim2"
"A_BLOCK","A7","cplr","multiomics-sim2"
"A_BLOCK","A29","cplr","multiomics-sim2"
"B_BLOCK","B570","cplr","multiomics-sim2"
"B_BLOCK","B759","cplr","multiomics-sim2"
"B_BLOCK","B25","cplr","multiomics-sim2"
"B_BLOCK","B30","cplr","multiomics-sim2"
"B_BLOCK","B16","cplr","multiomics-sim2"
"B_BLOCK","B453","cplr","multiomics-sim2"
"B_BLOCK","B14","cplr","multiomics-sim2"
"B_BLOCK","B29","cplr","multiomics-sim2"
"B_BLOCK","B265","cplr","multiomics-sim2"
"B_BLOCK","B10","cplr","multiomics-sim2"
"C_BLOCK","C221","cplr","multiomics-sim2"
"C_BLOCK","C25","cplr","multiomics-sim2"
"C_BLOCK","C412","cplr","multiomics-sim2"
"C_BLOCK","C30","cplr","multiomics-sim2"
"C_BLOCK","C477","cplr","multiomics-sim2"
"C_BLOCK","C14","cplr","multiomics-sim2"
"C_BLOCK","C29","cplr","multiomics-sim2"
"C_BLOCK","C379","cplr","multiomics-sim2"
"C_BLOCK","C16","cplr","multiomics-sim2"
"C_BLOCK","C5","cplr","multiomics-sim2"
