"view","feature","method","dataset_name"
"mirna","hsa-mir-148b","cplr","tcga"
"mirna","hsa-mir-218-2","cplr","tcga"
"mirna","hsa-mir-193a","cplr","tcga"
"mirna","hsa-mir-423","cplr","tcga"
"mirna","hsa-mir-532","cplr","tcga"
"mirna","hsa-mir-874","cplr","tcga"
"mirna","hsa-mir-130b","cplr","tcga"
"mirna","hsa-mir-152","cplr","tcga"
"mirna","hsa-mir-20a","cplr","tcga"
"mirna","hsa-mir-185","cplr","tcga"
"mirna","hsa-mir-7-1","cplr","tcga"
"mirna","hsa-mir-21","cplr","tcga"
"mirna","hsa-mir-103-2","cplr","tcga"
"mirna","hsa-let-7c","cplr","tcga"
"mirna","hsa-mir-629","cplr","tcga"
"mirna","hsa-mir-15b","cplr","tcga"
"mirna","hsa-mir-16-2","cplr","tcga"
"mirna","hsa-mir-23a","cplr","tcga"
"mirna","hsa-mir-191","cplr","tcga"
"mirna","hsa-mir-769","cplr","tcga"
"mirna","hsa-mir-24-2","cplr","tcga"
"mirna","hsa-mir-30e","cplr","tcga"
"mirna","hsa-mir-128-2","cplr","tcga"
"mirna","hsa-let-7d","cplr","tcga"
"mirna","hsa-mir-542","cplr","tcga"
"mirna","hsa-mir-29b-1","cplr","tcga"
"mirna","hsa-mir-197","cplr","tcga"
"mirna","hsa-mir-744","cplr","tcga"
"mirna","hsa-mir-584","cplr","tcga"
"mirna","hsa-mir-2355","cplr","tcga"
"mirna","hsa-mir-1307","cplr","tcga"
"mirna","hsa-mir-103-1","cplr","tcga"
"mirna","hsa-mir-193b","cplr","tcga"
"mirna","hsa-mir-484","cplr","tcga"
"mirna","hsa-mir-32","cplr","tcga"
"mirna","hsa-mir-664","cplr","tcga"
"mirna","hsa-mir-148a","cplr","tcga"
"mirna","hsa-mir-455","cplr","tcga"
"mirna","hsa-mir-140","cplr","tcga"
"mirna","hsa-mir-107","cplr","tcga"
"mirna","hsa-mir-146a","cplr","tcga"
"mirna","hsa-mir-223","cplr","tcga"
"mirna","hsa-mir-181d","cplr","tcga"
"mirna","hsa-mir-27a","cplr","tcga"
"mirna","hsa-mir-214","cplr","tcga"
"mirna","hsa-mir-505","cplr","tcga"
"mirna","hsa-mir-181c","cplr","tcga"
"mirna","hsa-mir-101-1","cplr","tcga"
"mirna","hsa-mir-625","cplr","tcga"
"mirna","hsa-mir-590","cplr","tcga"
"mirna","hsa-mir-342","cplr","tcga"
"mirna","hsa-mir-330","cplr","tcga"
"mirna","hsa-mir-34a","cplr","tcga"
"mirna","hsa-mir-345","cplr","tcga"
"mirna","hsa-mir-660","cplr","tcga"
"mirna","hsa-let-7a-1","cplr","tcga"
"mirna","hsa-mir-96","cplr","tcga"
"mirna","hsa-mir-378","cplr","tcga"
"mirna","hsa-mir-708","cplr","tcga"
"mirna","hsa-mir-221","cplr","tcga"
"mirna","hsa-mir-497","cplr","tcga"
"mirna","hsa-mir-150","cplr","tcga"
"mirna","hsa-mir-328","cplr","tcga"
