"view","feat","method","dataset_name"
"mirna","hsa-mir-17","diablo","tcga"
"mirna","hsa-mir-505","diablo","tcga"
"mirna","hsa-mir-20a","diablo","tcga"
"mirna","hsa-mir-130b","diablo","tcga"
"mirna","hsa-mir-106b","diablo","tcga"
"mirna","hsa-mir-106a","diablo","tcga"
"mirna","hsa-mir-590","diablo","tcga"
"mirna","hsa-mir-93","diablo","tcga"
"mirna","hsa-mir-197","diablo","tcga"
"mirna","hsa-let-7d","diablo","tcga"
"mirna","hsa-mir-186","diablo","tcga"
"mirna","hsa-mir-9-2","diablo","tcga"
"mirna","hsa-mir-9-1","diablo","tcga"
"mirna","hsa-mir-1301","diablo","tcga"
"mirna","hsa-mir-92a-2","diablo","tcga"
"mirna","hsa-mir-19b-2","diablo","tcga"
"mirna","hsa-mir-455","diablo","tcga"
"mirna","hsa-mir-92a-1","diablo","tcga"
"mrna","ZNF552","diablo","tcga"
"mrna","CCNA2","diablo","tcga"
"mrna","FUT8","diablo","tcga"
"mrna","C4orf34","diablo","tcga"
"mrna","LRIG1","diablo","tcga"
"mrna","KDM4B","diablo","tcga"
"mrna","TTC39A","diablo","tcga"
"mrna","PREX1","diablo","tcga"
"mrna","ASPM","diablo","tcga"
"mrna","SLC43A3","diablo","tcga"
"mrna","MEX3A","diablo","tcga"
"mrna","SEMA3C","diablo","tcga"
"mrna","E2F1","diablo","tcga"
"mrna","NCAPG2","diablo","tcga"
"mrna","NTN4","diablo","tcga"
"mrna","CSRP2","diablo","tcga"
"mrna","DTWD2","diablo","tcga"
"mrna","FMNL2","diablo","tcga"
"mrna","ALCAM","diablo","tcga"
"mrna","HTRA1","diablo","tcga"
"protein","ER-alpha","diablo","tcga"
"protein","GATA3","diablo","tcga"
"protein","Cyclin_B1","diablo","tcga"
"protein","Cyclin_E1","diablo","tcga"
"protein","AR","diablo","tcga"
"protein","ASNS","diablo","tcga"
"protein","JNK2","diablo","tcga"
"protein","INPP4B","diablo","tcga"
"protein","CDK1","diablo","tcga"
"protein","PR","diablo","tcga"
"protein","Chk2","diablo","tcga"
"protein","DJ-1","diablo","tcga"
"protein","PDK1_pS241","diablo","tcga"
"protein","p53","diablo","tcga"
