feat_name,omics,imp,method,dataset_name
C99,2,0.0,mogonet,multiomics-sim3
A1,1,0.0,mogonet,multiomics-sim3
A10,1,0.0,mogonet,multiomics-sim3
A100,1,0.0,mogonet,multiomics-sim3
A101,1,0.0,mogonet,multiomics-sim3
A102,1,0.0,mogonet,multiomics-sim3
A103,1,0.0,mogonet,multiomics-sim3
A104,1,0.0,mogonet,multiomics-sim3
A105,1,0.0,mogonet,multiomics-sim3
A106,1,0.0,mogonet,multiomics-sim3
A107,1,0.0,mogonet,multiomics-sim3
A108,1,0.0,mogonet,multiomics-sim3
A109,1,0.0,mogonet,multiomics-sim3
A11,1,0.0,mogonet,multiomics-sim3
A110,1,0.0,mogonet,multiomics-sim3
A111,1,0.0,mogonet,multiomics-sim3
A112,1,0.0,mogonet,multiomics-sim3
C63,2,0.0,mogonet,multiomics-sim3
C64,2,0.0,mogonet,multiomics-sim3
C65,2,0.0,mogonet,multiomics-sim3
C66,2,0.0,mogonet,multiomics-sim3
C67,2,0.0,mogonet,multiomics-sim3
C68,2,0.0,mogonet,multiomics-sim3
C69,2,0.0,mogonet,multiomics-sim3
C7,2,0.0,mogonet,multiomics-sim3
C56,2,0.0,mogonet,multiomics-sim3
C57,2,0.0,mogonet,multiomics-sim3
C58,2,0.0,mogonet,multiomics-sim3
C59,2,0.0,mogonet,multiomics-sim3
C6,2,0.0,mogonet,multiomics-sim3
