feat_name,omics,imp,method,dataset_name
C99,2,0.0,mogonet,multiomics-sim1
A1,1,0.0,mogonet,multiomics-sim1
A10,1,0.0,mogonet,multiomics-sim1
A100,1,0.0,mogonet,multiomics-sim1
A101,1,0.0,mogonet,multiomics-sim1
A102,1,0.0,mogonet,multiomics-sim1
A103,1,0.0,mogonet,multiomics-sim1
A104,1,0.0,mogonet,multiomics-sim1
A105,1,0.0,mogonet,multiomics-sim1
A106,1,0.0,mogonet,multiomics-sim1
A107,1,0.0,mogonet,multiomics-sim1
A108,1,0.0,mogonet,multiomics-sim1
A109,1,0.0,mogonet,multiomics-sim1
C63,2,0.0,mogonet,multiomics-sim1
C64,2,0.0,mogonet,multiomics-sim1
C65,2,0.0,mogonet,multiomics-sim1
C66,2,0.0,mogonet,multiomics-sim1
C67,2,0.0,mogonet,multiomics-sim1
C68,2,0.0,mogonet,multiomics-sim1
C69,2,0.0,mogonet,multiomics-sim1
C7,2,0.0,mogonet,multiomics-sim1
C56,2,0.0,mogonet,multiomics-sim1
C57,2,0.0,mogonet,multiomics-sim1
C58,2,0.0,mogonet,multiomics-sim1
C59,2,0.0,mogonet,multiomics-sim1
C6,2,0.0,mogonet,multiomics-sim1
C60,2,0.0,mogonet,multiomics-sim1
C61,2,0.0,mogonet,multiomics-sim1
C62,2,0.0,mogonet,multiomics-sim1
C49,2,0.0,mogonet,multiomics-sim1
