feat_name,omics,imp,method,dataset_name
mcv-miR-M1-5p,2,0.0,mogonet,rosmap
ENSG00000006831.9,0,0.0,mogonet,rosmap
ENSG00000010310.4,0,0.0,mogonet,rosmap
ENSG00000011426.6,0,0.0,mogonet,rosmap
ENSG00000016602.8,0,0.0,mogonet,rosmap
ENSG00000020577.9,0,0.0,mogonet,rosmap
ENSG00000021300.7,0,0.0,mogonet,rosmap
ENSG00000034063.8,0,0.0,mogonet,rosmap
ENSG00000037897.12,0,0.0,mogonet,rosmap
ENSG00000042062.7,0,0.0,mogonet,rosmap
ENSG00000051128.13,0,0.0,mogonet,rosmap
ENSG00000053702.10,0,0.0,mogonet,rosmap
ENSG00000057704.6,0,0.0,mogonet,rosmap
ENSG00000064961.14,0,0.0,mogonet,rosmap
ENSG00000065361.8,0,0.0,mogonet,rosmap
ENSG00000065809.8,0,0.0,mogonet,rosmap
ENSG00000070214.10,0,0.0,mogonet,rosmap
ENSG00000071054.10,0,0.0,mogonet,rosmap
ENSG00000072864.8,0,0.0,mogonet,rosmap
ENSG00000080573.6,0,0.0,mogonet,rosmap
ENSG00000084453.12,0,0.0,mogonet,rosmap
ENSG00000086159.8,0,0.0,mogonet,rosmap
ENSG00000088836.7,0,0.0,mogonet,rosmap
ENSG00000088881.14,0,0.0,mogonet,rosmap
hsa-miR-548a-5p,2,0.0,mogonet,rosmap
hsa-miR-548b-3p,2,0.0,mogonet,rosmap
hsa-miR-551b,2,0.0,mogonet,rosmap
hsa-miR-563,2,0.0,mogonet,rosmap
hsa-miR-574-3p,2,0.0,mogonet,rosmap
hsa-miR-577,2,0.0,mogonet,rosmap
