feat_name,omics,imp,method,dataset_name
p90RSK_pT359_S363,2,0.0,mogonet,tcga
14-3-3_epsilon,2,0.0,mogonet,tcga
4E-BP1,2,0.0,mogonet,tcga
4E-BP1_pS65,2,0.0,mogonet,tcga
4E-BP1_pT37,2,0.0,mogonet,tcga
4E-BP1_pT70,2,0.0,mogonet,tcga
53BP1,2,0.0,mogonet,tcga
A-Raf_pS299,2,0.0,mogonet,tcga
ACADS,1,0.0,mogonet,tcga
ACC1,2,0.0,mogonet,tcga
ACC_pS79,2,0.0,mogonet,tcga
ADAMTS4,1,0.0,mogonet,tcga
AGL,1,0.0,mogonet,tcga
AHR,1,0.0,mogonet,tcga
hsa-mir-532,0,0.0,mogonet,tcga
hsa-mir-539,0,0.0,mogonet,tcga
hsa-mir-542,0,0.0,mogonet,tcga
hsa-mir-574,0,0.0,mogonet,tcga
hsa-mir-576,0,0.0,mogonet,tcga
hsa-mir-582,0,0.0,mogonet,tcga
hsa-mir-584,0,0.0,mogonet,tcga
hsa-mir-589,0,0.0,mogonet,tcga
hsa-mir-454,0,0.0,mogonet,tcga
hsa-mir-455,0,0.0,mogonet,tcga
hsa-mir-484,0,0.0,mogonet,tcga
hsa-mir-486,0,0.0,mogonet,tcga
hsa-mir-497,0,0.0,mogonet,tcga
hsa-mir-500a,0,0.0,mogonet,tcga
hsa-mir-501,0,0.0,mogonet,tcga
hsa-mir-505,0,0.0,mogonet,tcga
