process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
SPLITTING:SPLIT_TRAIN_TEST	multiomics-sim1	2.4s	118.1%	0.1%	106.5 MB	106.5 MB	733.5 MB	3.4s	1 GB
PREPARE_DATA:PREPARE_MU_DATA	breast_tcga	3.5s	53.4%	0.0%	72.6 MB	72.6 MB	675.5 MB	4.7s	1 GB
PREPARE_DATA:PREPARE_MU_DATA	GSE71669	5.9s	40.9%	0.1%	125.3 MB	126.8 MB	729.2 MB	7s	1 GB
SPLITTING:SPLIT_TRAIN_TEST	GSE123	2.6s	95.1%	0.1%	104.5 MB	104.5 MB	733.1 MB	3.8s	1 GB
PREPARE_DATA:PREPARE_MU_DATA	rosmap	3.7s	48.4%	0.0%	77 MB	77 MB	677.6 MB	4.8s	1 GB
PREPARE_DATA:PREPARE_MAE_DATA	GSE71669	9.6s	95.9%	0.3%	600.3 MB	620.4 MB	1.7 GB	10.6s	1 GB
SPLITTING:SPLIT_TRAIN_TEST	multiomics-sim2	2.9s	75.1%	0.1%	109.3 MB	109.3 MB	730.3 MB	4s	1 GB
PREPARE_DATA:PREPARE_MAE_DATA	breast_tcga	8.9s	91.4%	0.3%	552 MB	552 MB	1.6 GB	9.9s	1 GB
PREPARE_DATA:PREPARE_MAE_DATA	rosmap	9.6s	89.4%	0.3%	582.9 MB	582.9 MB	1.6 GB	10.7s	1 GB
SPLITTING:SPLIT_TRAIN_TEST	GSE71669	3.8s	57.1%	0.0%	96.7 MB	96.7 MB	723.7 MB	5.2s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREPROCESS	multiomics-sim1	7.5s	57.8%	0.2%	352.7 MB	356.7 MB	3.4 GB	10.3s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	multiomics-sim1	13.2s	86.9%	0.3%	640.2 MB	640.2 MB	1.7 GB	14.3s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREPROCESS	GSE123	7.8s	54.0%	0.2%	350.6 MB	350.6 MB	3.4 GB	10.6s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREPROCESS	multiomics-sim1	12.9s	90.1%	0.3%	640.2 MB	640.2 MB	1.7 GB	14s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREPROCESS	GSE123	12.9s	87.0%	0.3%	640.2 MB	640.2 MB	1.7 GB	14.2s	1 GB
SPLITTING:SPLIT_TRAIN_TEST	rosmap	3.3s	62.4%	0.0%	96.7 MB	96.7 MB	723.7 MB	4.7s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	GSE123	13.4s	83.5%	0.3%	640.2 MB	640.2 MB	1.7 GB	14.9s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREPROCESS	multiomics-sim2	7.7s	59.1%	0.2%	367.6 MB	367.6 MB	3.4 GB	10.5s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	multiomics-sim2	13.7s	86.7%	0.3%	641 MB	641 MB	1.7 GB	15.1s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREPROCESS	multiomics-sim2	13.4s	88.7%	0.3%	642.9 MB	642.9 MB	1.7 GB	14.6s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREPROCESS	GSE71669	13.6s	78.0%	0.2%	465.6 MB	465.6 MB	3.5 GB	16.7s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	multiomics-sim1-fold_1	10.6s	95.6%	0.3%	534.1 MB	534.1 MB	1.6 GB	11.7s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	GSE71669	16.6s	85.8%	0.3%	664.2 MB	676.3 MB	1.7 GB	18.1s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	multiomics-sim1-fold_3	11.1s	88.0%	0.3%	588.7 MB	588.7 MB	1.8 GB	12.3s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREPROCESS	GSE71669	16.2s	86.8%	0.3%	673.2 MB	676.3 MB	1.7 GB	17.4s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	multiomics-sim1-fold_2	10.5s	101.1%	0.3%	534.1 MB	534.1 MB	1.6 GB	11.8s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREPROCESS	rosmap	12.6s	40.9%	0.2%	366.1 MB	366.1 MB	3.4 GB	15.7s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	GSE123-fold_1	17.6s	57.2%	0.3%	534.1 MB	534.1 MB	1.6 GB	18.9s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	GSE123-fold_3	16.5s	62.7%	0.3%	534 MB	534 MB	1.6 GB	18.4s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	multiomics-sim1-fold_1	6.1s	54.1%	0.1%	231.8 MB	231.8 MB	1.2 GB	8.3s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	GSE123-fold_2	20s	48.6%	0.3%	483.9 MB	483.9 MB	1.5 GB	22.1s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREPROCESS	rosmap	28.6s	50.6%	0.3%	636.5 MB	638.3 MB	1.7 GB	29.8s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	rosmap	30.9s	47.3%	0.3%	635.9 MB	640 MB	1.7 GB	32.2s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	GSE123-fold_1	6.3s	48.6%	0.1%	235.6 MB	235.6 MB	1.4 GB	8.5s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	GSE123-fold_3	7s	44.4%	0.1%	235.4 MB	235.4 MB	1.4 GB	8.9s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	GSE123-fold_2	6.1s	50.0%	0.1%	233.6 MB	233.6 MB	1.2 GB	8.2s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	multiomics-sim1-fold_2	3m 3s	161.8%	0.3%	630.1 MB	630.1 MB	1.8 GB	3m 4s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	multiomics-sim1-fold_3	3m 17s	143.6%	0.3%	636.8 MB	636.8 MB	1.8 GB	3m 19s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	GSE123-fold_3	2m 42s	121.6%	0.3%	632.5 MB	632.5 MB	1.8 GB	2m 44s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	multiomics-sim1-fold_2	7.2s	32.6%	0.1%	199.3 MB	199.3 MB	1.2 GB	9.6s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	GSE123-fold_2	3m 17s	135.7%	0.3%	633.5 MB	633.5 MB	1.8 GB	3m 19s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	GSE71669-fold_2	51.3s	27.8%	0.4%	788.7 MB	788.7 MB	2 GB	54.5s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	GSE123-fold_3	7.9s	30.6%	0.1%	194.9 MB	194.9 MB	1.2 GB	9.9s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	multiomics-sim2-fold_1	32s	32.3%	0.3%	529.7 MB	529.7 MB	1.6 GB	35.2s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	multiomics-sim2-fold_3	28.7s	35.0%	0.3%	505 MB	505 MB	1.6 GB	32.1s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	multiomics-sim2-fold_2	30.6s	32.1%	0.3%	591.7 MB	591.7 MB	1.8 GB	33.6s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	multiomics-sim1-fold_1	4m 9s	137.9%	0.3%	626 MB	626.6 MB	1.8 GB	4m 11s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	rosmap-fold_1	4m 20s	114.7%	0.3%	665.9 MB	670.2 MB	1.8 GB	4m 22s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	GSE71669-fold_1	40.3s	37.4%	0.4%	765.7 MB	765.7 MB	2 GB	42.5s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	GSE71669-fold_3	42s	38.6%	0.4%	785.9 MB	785.9 MB	2 GB	44.6s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	GSE123-fold_1	2m 45s	163.3%	0.3%	644.9 MB	644.9 MB	1.8 GB	2m 49s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	multiomics-sim1-fold_3	8.4s	27.1%	0.1%	197.6 MB	197.6 MB	1.2 GB	10.3s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	rosmap-fold_2	29.4s	34.1%	0.3%	529.7 MB	529.7 MB	1.6 GB	31.7s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	multiomics-sim1-fold_3	9.4s	34.0%	0.1%	232.5 MB	232.5 MB	1.2 GB	11.8s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	multiomics-sim2-fold_1	9.3s	36.2%	0.1%	233.6 MB	233.6 MB	1.4 GB	11.8s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	rosmap-fold_1	23.5s	47.3%	0.3%	504.9 MB	504.9 MB	1.6 GB	25.1s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	multiomics-sim1-fold_2	8.2s	40.3%	0.1%	235.4 MB	235.4 MB	1.4 GB	11.1s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	rosmap-fold_1	5.4s	42.9%	0.1%	209.1 MB	209.1 MB	1.3 GB	7.9s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	multiomics-sim2-fold_3	6m 20s	132.7%	0.3%	631.8 MB	632.8 MB	1.8 GB	6m 24s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	rosmap-fold_2	4m 3s	127.4%	0.3%	662.7 MB	664.7 MB	1.8 GB	4m 7s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	GSE123-fold_2	7.5s	30.9%	0.1%	197.7 MB	197.7 MB	1.2 GB	11.4s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	multiomics-sim2-fold_2	6m 7s	130.9%	0.3%	629.2 MB	632.5 MB	1.8 GB	6m 10s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	multiomics-sim2-fold_1	6m 10s	138.1%	0.3%	635.2 MB	635.2 MB	1.8 GB	6m 14s	1 GB
SPLITTING:SPLIT_TRAIN_TEST	breast_tcga	5.1s	37.4%	0.0%	89.7 MB	89.7 MB	713.7 MB	7.9s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	rosmap-fold_3	20.4s	49.0%	0.3%	590.4 MB	590.4 MB	1.8 GB	23.6s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	rosmap-fold_3	4m 5s	129.0%	0.3%	662 MB	662 MB	1.8 GB	4m 8s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	multiomics-sim2-fold_2	5.6s	58.0%	0.1%	231.8 MB	231.8 MB	1.2 GB	7.7s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	rosmap-fold_2	5.1s	44.3%	0.1%	192.4 MB	192.4 MB	1.2 GB	8.7s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	GSE71669-fold_2	8.5s	48.8%	0.1%	257.3 MB	257.3 MB	1.4 GB	12.4s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREPROCESS	breast_tcga	17.6s	20.9%	0.2%	339.9 MB	339.9 MB	3.4 GB	23.5s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	multiomics-sim2-fold_3	5.5s	43.0%	0.1%	198.3 MB	198.3 MB	1.2 GB	8.6s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	multiomics-sim2-fold_3	5.7s	55.8%	0.1%	232.1 MB	232.1 MB	1.2 GB	11s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	rosmap-fold_3	6.3s	38.0%	0.1%	195.9 MB	195.9 MB	1.2 GB	9.6s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	multiomics-sim1-fold_1	5.1s	43.7%	0.1%	191.4 MB	191.4 MB	1.2 GB	10.3s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	GSE71669-fold_1	8.3s	49.2%	0.1%	265.6 MB	265.6 MB	1.4 GB	12.5s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	GSE71669-fold_3	7.7s	49.4%	0.1%	258.8 MB	258.8 MB	1.3 GB	10.9s	1 GB
