"view","feat","method","dataset_name"
"epigenomics","cg10942056","diablo","rosmap"
"epigenomics","cg12845808","diablo","rosmap"
"epigenomics","cg20217872","diablo","rosmap"
"epigenomics","cg20483374","diablo","rosmap"
"epigenomics","cg15780361","diablo","rosmap"
"epigenomics","cg19368582","diablo","rosmap"
"epigenomics","cg06933965","diablo","rosmap"
"epigenomics","cg00777121","diablo","rosmap"
"epigenomics","cg11052143","diablo","rosmap"
"epigenomics","cg06849477","diablo","rosmap"
"epigenomics","cg15127733","diablo","rosmap"
"epigenomics","cg10978355","diablo","rosmap"
"epigenomics","cg13288195","diablo","rosmap"
"epigenomics","cg06690548","diablo","rosmap"
"epigenomics","cg21062347","diablo","rosmap"
"epigenomics","cg10923408","diablo","rosmap"
"epigenomics","cg15984661","diablo","rosmap"
"epigenomics","cg26143719","diablo","rosmap"
"epigenomics","cg22282672","diablo","rosmap"
"epigenomics","cg06637893","diablo","rosmap"
"genomics","ENSG00000256193.1","diablo","rosmap"
"genomics","ENSG00000233123.1","diablo","rosmap"
"genomics","ENSG00000138207.7","diablo","rosmap"
"genomics","ENSG00000187984.7","diablo","rosmap"
"genomics","ENSG00000166257.4","diablo","rosmap"
"genomics","ENSG00000186188.5","diablo","rosmap"
"genomics","ENSG00000166863.7","diablo","rosmap"
"genomics","ENSG00000170759.10","diablo","rosmap"
"genomics","ENSG00000260001.1","diablo","rosmap"
"genomics","ENSG00000260328.1","diablo","rosmap"
"genomics","ENSG00000233487.6","diablo","rosmap"
"genomics","ENSG00000100600.10","diablo","rosmap"
"genomics","ENSG00000249436.1","diablo","rosmap"
"genomics","ENSG00000178752.11","diablo","rosmap"
"genomics","ENSG00000166508.13","diablo","rosmap"
"genomics","ENSG00000071054.10","diablo","rosmap"
"genomics","ENSG00000021300.7","diablo","rosmap"
"genomics","ENSG00000233404.2","diablo","rosmap"
"genomics","ENSG00000197704.7","diablo","rosmap"
"genomics","ENSG00000171476.16","diablo","rosmap"
"transcriptomics","hsa-miR-1260","diablo","rosmap"
"transcriptomics","hsa-miR-132","diablo","rosmap"
"transcriptomics","hsa-miR-433","diablo","rosmap"
"transcriptomics","hsa-miR-1275","diablo","rosmap"
"transcriptomics","hsa-miR-129-5p","diablo","rosmap"
"transcriptomics","hsa-miR-2117","diablo","rosmap"
"transcriptomics","hsa-miR-744","diablo","rosmap"
"transcriptomics","hsa-miR-200a","diablo","rosmap"
"transcriptomics","hsa-miR-193b","diablo","rosmap"
"transcriptomics","hsa-miR-485-3p","diablo","rosmap"
"transcriptomics","hsa-miR-1246","diablo","rosmap"
"transcriptomics","hsa-miR-504","diablo","rosmap"
"transcriptomics","hsa-miR-133b","diablo","rosmap"
"transcriptomics","hsa-miR-517c_hsa-miR-519a","diablo","rosmap"
"transcriptomics","hsa-miR-431","diablo","rosmap"
"transcriptomics","hsa-miR-1299","diablo","rosmap"
"transcriptomics","hsa-miR-129-3p","diablo","rosmap"
"transcriptomics","hsa-miR-885-5p","diablo","rosmap"
"transcriptomics","hsa-miR-29a","diablo","rosmap"
"transcriptomics","hsa-miR-370","diablo","rosmap"
