"view","feature","method","dataset_name"
"epigenomics","cg16604516","cplr","rosmap"
"epigenomics","cg12845808","cplr","rosmap"
"epigenomics","cg00727590","cplr","rosmap"
"epigenomics","cg05261299","cplr","rosmap"
"epigenomics","cg15013019","cplr","rosmap"
"epigenomics","cg19485804","cplr","rosmap"
"epigenomics","cg04126866","cplr","rosmap"
"epigenomics","cg06849477","cplr","rosmap"
"epigenomics","cg19832721","cplr","rosmap"
"epigenomics","cg20217872","cplr","rosmap"
"epigenomics","cg14851685","cplr","rosmap"
"epigenomics","cg09705062","cplr","rosmap"
"epigenomics","cg16361890","cplr","rosmap"
"epigenomics","cg21062347","cplr","rosmap"
"epigenomics","cg01182697","cplr","rosmap"
"epigenomics","cg18149207","cplr","rosmap"
"epigenomics","cg17253459","cplr","rosmap"
"epigenomics","cg06946880","cplr","rosmap"
"epigenomics","cg26143719","cplr","rosmap"
"epigenomics","cg24525573","cplr","rosmap"
"epigenomics","cg01869233","cplr","rosmap"
"epigenomics","cg00830029","cplr","rosmap"
"epigenomics","cg11504740","cplr","rosmap"
"epigenomics","cg19601035","cplr","rosmap"
"epigenomics","cg10942056","cplr","rosmap"
"epigenomics","cg17560332","cplr","rosmap"
"epigenomics","cg22905097","cplr","rosmap"
"epigenomics","cg08367223","cplr","rosmap"
"epigenomics","cg00597076","cplr","rosmap"
"epigenomics","cg12556134","cplr","rosmap"
"epigenomics","cg05973262","cplr","rosmap"
"epigenomics","cg08578641","cplr","rosmap"
"epigenomics","cg00745735","cplr","rosmap"
"epigenomics","cg21838334","cplr","rosmap"
"epigenomics","cg03670238","cplr","rosmap"
"epigenomics","cg03894103","cplr","rosmap"
"epigenomics","cg02489552","cplr","rosmap"
"epigenomics","cg20028470","cplr","rosmap"
"epigenomics","cg19125606","cplr","rosmap"
"epigenomics","cg18636641","cplr","rosmap"
"epigenomics","cg06690548","cplr","rosmap"
"epigenomics","cg17692403","cplr","rosmap"
"epigenomics","cg00095526","cplr","rosmap"
"epigenomics","cg08727202","cplr","rosmap"
"epigenomics","cg04983977","cplr","rosmap"
"epigenomics","cg11052143","cplr","rosmap"
"epigenomics","cg24178740","cplr","rosmap"
"epigenomics","cg07654934","cplr","rosmap"
"epigenomics","cg24192663","cplr","rosmap"
"epigenomics","cg17071957","cplr","rosmap"
"epigenomics","cg05697249","cplr","rosmap"
"epigenomics","cg02008416","cplr","rosmap"
"epigenomics","cg14387505","cplr","rosmap"
"epigenomics","cg18182399","cplr","rosmap"
"epigenomics","cg18220560","cplr","rosmap"
"epigenomics","cg17237063","cplr","rosmap"
"epigenomics","cg16990174","cplr","rosmap"
"epigenomics","cg12924262","cplr","rosmap"
"epigenomics","cg14837165","cplr","rosmap"
"epigenomics","cg12120741","cplr","rosmap"
"epigenomics","cg04527918","cplr","rosmap"
"epigenomics","cg23579062","cplr","rosmap"
"epigenomics","cg15127733","cplr","rosmap"
"epigenomics","cg20300246","cplr","rosmap"
"epigenomics","cg03870261","cplr","rosmap"
"epigenomics","cg22442730","cplr","rosmap"
"epigenomics","cg22680204","cplr","rosmap"
"epigenomics","cg02654291","cplr","rosmap"
"epigenomics","cg02293044","cplr","rosmap"
"epigenomics","cg21643191","cplr","rosmap"
"epigenomics","cg11761535","cplr","rosmap"
"epigenomics","cg23713520","cplr","rosmap"
"epigenomics","cg19358493","cplr","rosmap"
"epigenomics","cg22282672","cplr","rosmap"
"epigenomics","cg10157098","cplr","rosmap"
"epigenomics","cg06637893","cplr","rosmap"
"epigenomics","cg07992625","cplr","rosmap"
"epigenomics","cg12799265","cplr","rosmap"
"epigenomics","cg20793071","cplr","rosmap"
"epigenomics","cg03972838","cplr","rosmap"
"epigenomics","cg01169778","cplr","rosmap"
"epigenomics","cg24101578","cplr","rosmap"
"epigenomics","cg21671476","cplr","rosmap"
"epigenomics","cg22534509","cplr","rosmap"
"epigenomics","cg27146152","cplr","rosmap"
"epigenomics","cg24765079","cplr","rosmap"
"epigenomics","cg22518733","cplr","rosmap"
"epigenomics","cg05164634","cplr","rosmap"
"epigenomics","cg16003238","cplr","rosmap"
"epigenomics","cg10978355","cplr","rosmap"
"epigenomics","cg03762535","cplr","rosmap"
"epigenomics","cg20870559","cplr","rosmap"
"epigenomics","cg22472290","cplr","rosmap"
"epigenomics","cg08409225","cplr","rosmap"
"epigenomics","cg25414165","cplr","rosmap"
"epigenomics","cg06736444","cplr","rosmap"
"epigenomics","cg13236107","cplr","rosmap"
"epigenomics","cg17233506","cplr","rosmap"
"epigenomics","cg00754253","cplr","rosmap"
"epigenomics","cg23616741","cplr","rosmap"
"epigenomics","cg15537850","cplr","rosmap"
"epigenomics","cg22398616","cplr","rosmap"
"epigenomics","cg06258834","cplr","rosmap"
"epigenomics","cg16869108","cplr","rosmap"
"epigenomics","cg08952029","cplr","rosmap"
"epigenomics","cg12981137","cplr","rosmap"
"epigenomics","cg12864235","cplr","rosmap"
"epigenomics","cg27120999","cplr","rosmap"
"epigenomics","cg10468702","cplr","rosmap"
"epigenomics","cg13288195","cplr","rosmap"
"epigenomics","cg08775230","cplr","rosmap"
"epigenomics","cg14847483","cplr","rosmap"
"epigenomics","cg15789095","cplr","rosmap"
"epigenomics","cg05668853","cplr","rosmap"
"epigenomics","cg18806980","cplr","rosmap"
"epigenomics","cg25771195","cplr","rosmap"
"epigenomics","cg15775914","cplr","rosmap"
"epigenomics","cg02932167","cplr","rosmap"
"epigenomics","cg07730301","cplr","rosmap"
"epigenomics","cg26984805","cplr","rosmap"
"epigenomics","cg20692569","cplr","rosmap"
"epigenomics","cg19423311","cplr","rosmap"
"epigenomics","cg24877842","cplr","rosmap"
"epigenomics","cg11136562","cplr","rosmap"
"epigenomics","cg02595219","cplr","rosmap"
"epigenomics","cg02085507","cplr","rosmap"
"epigenomics","cg24901042","cplr","rosmap"
"epigenomics","cg15517609","cplr","rosmap"
"epigenomics","cg21663431","cplr","rosmap"
"epigenomics","cg25277950","cplr","rosmap"
"epigenomics","cg18676053","cplr","rosmap"
"epigenomics","cg25946389","cplr","rosmap"
"epigenomics","cg07546360","cplr","rosmap"
"epigenomics","cg17886959","cplr","rosmap"
"epigenomics","cg14613972","cplr","rosmap"
"epigenomics","cg15626350","cplr","rosmap"
"epigenomics","cg00398048","cplr","rosmap"
"epigenomics","cg24322623","cplr","rosmap"
"epigenomics","cg09656934","cplr","rosmap"
"epigenomics","cg08418111","cplr","rosmap"
"epigenomics","cg25681177","cplr","rosmap"
"epigenomics","cg00174500","cplr","rosmap"
"epigenomics","cg25736482","cplr","rosmap"
"epigenomics","cg17385448","cplr","rosmap"
"epigenomics","cg12447832","cplr","rosmap"
"epigenomics","cg11469778","cplr","rosmap"
"epigenomics","cg05232889","cplr","rosmap"
"epigenomics","cg23571857","cplr","rosmap"
"epigenomics","cg14792480","cplr","rosmap"
"epigenomics","cg04428453","cplr","rosmap"
"epigenomics","cg18001427","cplr","rosmap"
"epigenomics","cg16708981","cplr","rosmap"
"epigenomics","cg13044136","cplr","rosmap"
"epigenomics","cg07412254","cplr","rosmap"
"epigenomics","cg07232688","cplr","rosmap"
"genomics","ENSG00000235501.1","cplr","rosmap"
"genomics","ENSG00000142765.12","cplr","rosmap"
"genomics","ENSG00000184481.11","cplr","rosmap"
"genomics","ENSG00000164889.8","cplr","rosmap"
"genomics","ENSG00000170759.10","cplr","rosmap"
"genomics","ENSG00000176105.9","cplr","rosmap"
"genomics","ENSG00000165175.11","cplr","rosmap"
"genomics","ENSG00000227392.1","cplr","rosmap"
"genomics","ENSG00000254858.2","cplr","rosmap"
"genomics","ENSG00000180777.9","cplr","rosmap"
"genomics","ENSG00000117266.11","cplr","rosmap"
"genomics","ENSG00000170276.4","cplr","rosmap"
"genomics","ENSG00000236609.3","cplr","rosmap"
"genomics","ENSG00000203565.2","cplr","rosmap"
"genomics","ENSG00000182310.7","cplr","rosmap"
"genomics","ENSG00000157978.6","cplr","rosmap"
"genomics","ENSG00000102032.8","cplr","rosmap"
"genomics","ENSG00000135414.5","cplr","rosmap"
"genomics","ENSG00000168743.8","cplr","rosmap"
"genomics","ENSG00000125637.10","cplr","rosmap"
"genomics","ENSG00000260328.1","cplr","rosmap"
"genomics","ENSG00000139629.10","cplr","rosmap"
"genomics","ENSG00000119403.9","cplr","rosmap"
"genomics","ENSG00000086159.8","cplr","rosmap"
"genomics","ENSG00000196415.4","cplr","rosmap"
